"1492639777.276577","2","tempSensor","0"
"1492639777.367601","3","smartOutlet","0"
"1492639777.431096","4","doorSensor","0"
"1492639777.558138","5","smartBulb","0"
"1492639777.711721","6","motionSensor","0"
"1492639779.319493","5","smartBulb","0"
"1492639780.198306","5","smartBulb","1"
"1492639781.001715","5","smartBulb","1"
"1492639781.965784","4","doorSensor","0"
"1492639782.769671","4","doorSensor","0"
"1492639783.629617","4","doorSensor","1"
"1492639783.735897","4","doorSensor","0"
"1492639784.541531","4","doorSensor","0"
"1492639785.400422","6","motionSensor","1"
"1492639785.504299","5","smartBulb","1"
"1492639786.809594","6","motionSensor","0"
"1492639788.21524","4","doorSensor","1"
"1492639788.318326","4","doorSensor","0"
"1492639789.121507","4","doorSensor","0"
"1492639789.476496","5","smartBulb","1"
"1492639789.834116","3","smartOutlet","0"
"1492639790.244843","4","doorSensor","0"
"1492639790.601292","6","motionSensor","0"
"1492639790.958614","4","doorSensor","0"
"1492639791.315118","6","motionSensor","0"
"1492639791.672014","4","doorSensor","0"
"1492639792.027974","6","motionSensor","0"
"1492639792.383745","5","smartBulb","1"
"1492639792.738867","4","doorSensor","0"
"1492639793.092919","6","motionSensor","0"
"1492639793.447858","2","tempSensor","56"
"1492639793.859561","5","smartBulb","1"
"1492639794.414934","4","doorSensor","0"
"1492639794.771846","6","motionSensor","0"
"1492639795.12913","4","doorSensor","0"
"1492639795.485946","6","motionSensor","0"
"1492639796.400165","4","doorSensor","0"
"1492639796.756317","6","motionSensor","0"
"1492639797.113048","3","smartOutlet","0"
"1492639797.768238","4","doorSensor","0"
"1492639798.122785","3","smartOutlet","0"
"1492639798.981699","5","smartBulb","1"
"1492639799.785465","5","smartBulb","1"
"1492639800.645836","4","doorSensor","1"
"1492639800.750077","4","doorSensor","0"
"1492639801.554314","4","doorSensor","0"
"1492639802.414748","4","doorSensor","1"
"1492639802.51789","4","doorSensor","0"
"1492639803.323946","4","doorSensor","0"
"1492639804.184129","6","motionSensor","1"
"1492639804.287303","5","smartBulb","1"
