"1491157315.482359","2","smartOutlet","0"
"1491157315.670927","3","motionSensor","0"
"1491157315.731457","4","smartBulb","0"
"1491157316.103387","5","tempSensor","0"
"1491157316.618815","6","doorSensor","0"
"1491157325.311868","6","doorSensor","1"
"1491157326.397887","6","doorSensor","0"
"1491157327.384397","4","smartBulb","1"
"1491157329.0827749","3","motionSensor","1"
"1491157329.872628","4","smartBulb","1"
"1491157330.9052339","5","tempSensor","62"
"1491157331.789963","3","motionSensor","1"
"1491157332.463993","4","smartBulb","1"
"1491157333.754953","6","doorSensor","1"
"1491157334.8560429","6","doorSensor","0"
